 sindex, field, ccdid, qid, filter, pid, infobitssci, sciinpseeing, scibckgnd, scisigpix, zpmaginpsci, zpmaginpsciunc, zpmaginpscirms, clrcoeff, clrcoeffunc, ncalmatches, exptime, adpctdif1, adpctdif2, diffmaglim, zpdiff, programid, jd, rfid, diffimgstatus, forcediffimflux, forcediffimfluxunc, forcediffimsnr, forcediffimchisq, forcediffimfluxap, forcediffimfluxuncap, forcediffimsnrap, aperturecorr, dnearestrefsrc, nearestrefmag, nearestrefmagunc, nearestrefchi, nearestrefsharp, refjdstart, refjdend, procstatus
#
 9 698 3 3 ZTF_r 543428491015 0 2.2443 156.115 16.4263 26.0413 5.2184e-06 0.036807 0.0936843 1.03409e-05 1459 30. 0.047592 0.045368 19.0898 26.0413 1 2458297.9284954 698120210 1 -73.40824778181 75.684494 -1.078929 1.054101 -281.91491582199 133.392670 -2.127656 1.049064 0.00755360897509477 20.5009998321533 0.0419999994337559 1.12999999523163 0.0199999995529652 2458300.923935 2458441.795822 0
 10 653 16 1 ZTF_r 544452366015 0 3.0381 192.67 13.558 25.968 6.5422e-06 0.0398961 0.0998726 1.2605e-05 1361 30. 0.069041 0.055112 19.033 25.968 1 2458298.9523611 653120260 1 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 null null null null null 2458301.945833 2458364.983044 57,61
 11 653 16 2 ZTF_r 544452366115 0 3.0157 219.513 12.3515 25.8837 7.1021e-06 0.0426413 0.0964131 1.38563e-05 1494 30. 0.068405 0.054788 19.017 25.8837 1 2458298.9523611 653120261 1 -31.28041358789 73.547844 -0.473105 1.058407 59.37287129581 105.352089 0.567362 1.161967 0.0960824501012838 20.5690001487732 0.068000003695488 1.04299998283386 0.0240000002086163 2458301.945833 2458361.999051 0
 12 652 13 1 ZTF_r 546423474815 0 3.5489 241.07 11.3361 25.8585 7.6402e-06 0.0448415 0.0765605 1.43322e-05 1514 30. 0.080415 0.073535 18.9516 25.8585 1 2458300.9234722 652120248 1 17.55522280344 65.165619 0.299670 0.962012 -4.95354359886 96.209206 -0.051834 1.075676 0.2331930961443 20.5160001754761 0.0509999990463257 0.794000029563904 0 2458303.966667 2458364.883264 0
 13 698 3 3 ZTF_r 546423931015 0 2.1803 149.513 11.046 25.9826 3.5642e-06 0.0308647 0.090333 7.02676e-06 1503 30. 0.067054 0.050429 19.5126 25.9826 1 2458300.9239352 698120210 1 13.15983484424 50.080975 0.292302 1.067611 93.47137093886 91.959152 1.023290 1.040154 0.00755360897509477 20.5009998321533 0.0419999994337559 1.12999999523163 0.0199999995529652 2458300.923935 2458441.795822 0
 14 652 13 1 ZTF_g 546467014815 0 2.8734 58.6714 11.0957 26.0326 8.0803e-06 0.040321 -0.0678106 2.03793e-05 1237 30. 0.058855 0.049546 19.2914 26.0326 1 2458300.9670139 652120148 1 -36.75141016239 62.920319 -0.649737 0.949958 -90.85040529328 100.227852 -0.912544 1.104237 0.204570163020604 20.2390000343323 0.0500000007450581 1.37600004673004 -0.108999997377396 2458303.952060 2458352.925799 0
 15 698 3 3 ZTF_g 546467461015 0 2.2948 80.0284 11.1426 26.1362 5.7914e-06 0.035521 -0.0372461 1.42067e-05 1311 30. 0.051544 0.041187 19.5853 26.1362 1 2458300.9674653 698120110 1 -4.08158090542 52.172466 -0.087025 1.067259 26.60641228248 91.441963 0.292925 1.050021 0.0923584226225262 20.3119999885559 0.0370000004768372 0.875 0.0350000001490116 2458303.951609 2458362.967720 0
 16 653 16 2 ZTF_r 547445836115 0 2.2873 222.887 8.81275 25.8911 3.9247e-06 0.0329352 0.0929478 7.61643e-06 1611 30. 0.068985 0.061158 19.6297 25.8911 1 2458301.9458333 653120261 1 -39.57936751414 48.318821 -0.911187 0.966032 -39.071252864 79.231316 -0.496450 1.104137 0.0960824501012838 20.5690001487732 0.068000003695488 1.04299998283386 0.0240000002086163 2458301.945833 2458361.999051 0
 17 653 16 1 ZTF_r 547445836015 0 2.4118 191.768 9.4264 25.9767 4.3067e-06 0.0335372 0.0925291 8.2354e-06 1465 30. 0.063363 0.059385 19.6055 25.9767 1 2458301.9458333 653120260 1 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 null null null null null 2458301.945833 2458364.983044 57,61
 18 653 16 2 ZTF_g 547475716115 0 2.2444 67.4059 10.5075 25.9952 6.7903e-06 0.0390404 -0.0366098 1.62716e-05 1380 30. 0.060039 0.052314 19.5092 25.9952 1 2458301.9757176 653120161 1 17.96776103541 56.550629 0.353436 0.922623 -28.8846303527 96.653656 -0.300859 1.096069 0.151207265367039 20.2149998664856 0.0370000004768372 0.726000010967255 0.046000000089407 2458304.966412 2458349.953391 0
 19 653 16 1 ZTF_g 547475716015 0 2.264 71.6942 10.8347 26.0842 6.8159e-06 0.0374404 -0.0419427 1.67796e-05 1241 30. 0.05795 0.04295 19.565 26.0842 1 2458301.9757176 653120160 1 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 null null null null null 2458304.966412 2458347.975521 57,61
 20 698 3 3 ZTF_g 549451601015 0 2.5633 77.88 9.3384 26.1085 5.45e-06 0.0351402 -0.0682791 1.28623e-05 1353 30. 0.047231 0.041861 19.6806 26.1085 1 2458303.9516088 698120110 1 18.45200560943 44.865639 0.457493 0.870266 61.77771056497 76.456253 0.813456 1.046211 0.0923584226225262 20.3119999885559 0.0370000004768372 0.875 0.0350000001490116 2458303.951609 2458362.967720 0
 21 652 13 1 ZTF_g 549452064815 0 3.0076 56.1668 8.48505 25.9714 7.6651e-06 0.0406397 -0.0632669 1.79494e-05 1308 30. 0.056762 0.045824 19.4786 25.9714 1 2458303.9520602 652120148 1 19.7106723848 51.543980 0.425381 0.919200 0.02438079395 79.915771 0.000307 1.103138 0.204570163020604 20.2390000343323 0.0500000007450581 1.37600004673004 -0.108999997377396 2458303.952060 2458352.925799 0
 22 652 13 1 ZTF_r 549466664815 0 2.4925 265.446 7.71502 25.9623 2.3786e-06 0.0252159 0.0793327 4.47408e-06 1550 30. 0.045107 0.043558 19.7488 25.9623 1 2458303.9666667 652120248 1 58.88456487426 38.181187 1.715564 0.989870 55.53625413314 67.503738 0.828255 1.059675 0.2331930961443 20.5160001754761 0.0509999990463257 0.794000029563904 0 2458303.966667 2458364.883264 0
 23 698 3 3 ZTF_r 549471731015 0 2.1447 164.635 8.91582 26.0804 2.1021e-06 0.0236297 0.0855513 4.14443e-06 1503 30. 0.040791 0.036819 19.8619 26.0804 1 2458303.9717361 698120210 1 46.60724438417 36.483845 1.421044 0.983324 -12.52985570095 68.139458 -0.185124 1.037641 0.00755360897509477 20.5009998321533 0.0419999994337559 1.12999999523163 0.0199999995529652 2458300.923935 2458441.795822 0
 24 653 16 2 ZTF_g 550466416115 0 2.5115 69.8487 7.27068 26.0357 5.2461e-06 0.0364936 -0.0759815 1.13431e-05 1522 30. 0.046535 0.045718 19.8588 26.0357 1 2458304.966412 653120161 1 31.27435812597 37.378956 0.930714 1.027101 50.97391077813 62.777531 0.817446 1.075963 0.151207265367039 20.2149998664856 0.0370000004768372 0.726000010967255 0.046000000089407 2458304.966412 2458349.953391 0
 25 653 16 1 ZTF_g 550466416015 0 2.522 72.5979 7.46767 26.1192 5.5135e-06 0.0356298 -0.0702501 1.21287e-05 1351 30. 0.046892 0.047044 19.9036 26.1192 1 2458304.966412 653120160 1 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 null null null null null 2458304.966412 2458347.975521 57,61
