 sindex, field, ccdid, qid, filter, pid, infobitssci, sciinpseeing, scibckgnd, scisigpix, zpmaginpsci, zpmaginpsciunc, zpmaginpscirms, clrcoeff, clrcoeffunc, ncalmatches, exptime, adpctdif1, adpctdif2, diffmaglim, zpdiff, programid, jd, rfid, diffimgstatus, forcediffimflux, forcediffimfluxunc, forcediffimsnr, forcediffimchisq, forcediffimfluxap, forcediffimfluxuncap, forcediffimsnrap, aperturecorr, dnearestrefsrc, nearestrefmag, nearestrefmagunc, nearestrefchi, nearestrefsharp, refjdstart, refjdend, procstatus
#
 2198 698 3 3 ZTF_g 1113162381015 32 2.4037 6.21686 8.82418 23.3952 0.000822046 0.100347 -0.04536 0.00274962 177 30. 0.064326 0.051033 17.0629 23.3952 1 2458867.6623843 698120110 1 54.74088941403 42.059574 1.447777 0.900881 137.65235645943 71.383705 1.941332 1.049857 0.0923584226225262 20.3119999885559 0.0370000004768372 0.875 0.0350000001490116 2458303.951609 2458362.967720 0
 2199 652 13 1 ZTF_r 1117103544815 0 1.8531 308.891 6.17904 26.0772 2.5115e-06 0.0258581 0.0812227 4.75462e-06 1535 30. 0.068484 0.044717 20.3688 26.0772 1 2458871.6035417 652120248 1 -13.13223916215 28.016190 -0.521416 0.955658 15.80485638293 52.818279 0.301246 1.072831 0.2331930961443 20.5160001754761 0.0509999990463257 0.794000029563904 0 2458303.966667 2458364.883264 0
 2200 653 16 1 ZTF_r 1117104006015 0 1.8078 221.637 5.87902 26.1472 1.6366e-06 0.0205776 0.0829018 3.12633e-06 1450 30. 0.044951 0.041848 20.485 26.1472 1 2458871.6040046 653120260 1 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 null null null null null 2458301.945833 2458364.983044 57,61
 2201 653 16 2 ZTF_r 1117104006115 0 1.8966 258.984 6.04708 26.0531 1.7863e-06 0.0222572 0.083398 3.49451e-06 1611 30. 0.046033 0.039715 20.3181 26.0531 1 2458871.6040046 653120261 1 28.94498302077 31.051086 1.036934 0.918809 3.10418612783 56.051571 0.055754 1.081089 0.0960824501012838 20.5690001487732 0.068000003695488 1.04299998283386 0.0240000002086163 2458301.945833 2458361.999051 0
 2202 653 16 1 ZTF_r 1117108486015 0 1.8613 224.102 5.8219 26.147 1.5764e-06 0.0202212 0.0860748 3.01757e-06 1453 30. 0.046514 0.042752 20.4742 26.147 1 2458871.6084838 653120260 1 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 null null null null null 2458301.945833 2458364.983044 57,61
 2203 653 16 2 ZTF_r 1117108486115 0 1.9413 259.137 5.9778 26.0504 1.8443e-06 0.0226135 0.087803 3.61977e-06 1608 30. 0.045344 0.041187 20.3042 26.0504 1 2458871.6084838 653120261 1 33.47655414733 30.693256 1.213256 0.954747 -21.93703480842 54.856499 -0.402592 1.085570 0.0960824501012838 20.5690001487732 0.068000003695488 1.04299998283386 0.0240000002086163 2458301.945833 2458361.999051 0
 2204 652 13 1 ZTF_r 1117108944815 0 1.565 308.719 6.10748 26.078 2.9866e-06 0.0281818 0.0787193 5.66066e-06 1531 30. 0.066738 0.04973 20.4979 26.078 3 2458871.6089468 652120248 1 -3.51242142314 26.770273 -0.145952 0.953324 -3.8261605883 51.884914 -0.074240 1.073481 0.2331930961443 20.5160001754761 0.0509999990463257 0.794000029563904 0 2458303.966667 2458364.883264 0
 2205 652 13 1 ZTF_r 1117109864815 0 1.7291 307.003 6.12654 26.0821 2.6425e-06 0.0264992 0.0788491 5.01275e-06 1533 30. 0.066857 0.044078 20.4363 26.0821 1 2458871.6098611 652120248 1 -14.75015322789 26.848577 -0.611125 0.881118 97.88580050177 52.103817 1.891321 1.067530 0.2331930961443 20.5160001754761 0.0509999990463257 0.794000029563904 0 2458303.966667 2458364.883264 0
 2206 652 13 1 ZTF_g 1117156514815 0 2.6759 71.352 5.00016 26.1555 7.2785e-06 0.0434443 -0.0759588 1.43386e-05 1499 30. 0.117106 0.044905 20.3495 26.1555 3 2458871.6565162 652120148 1 31.30551283029 31.358767 1.110495 0.963919 109.58114766573 48.388851 2.279847 1.165822 0.204570163020604 20.2390000343323 0.0500000007450581 1.37600004673004 -0.108999997377396 2458303.952060 2458352.925799 0
 2207 652 13 1 ZTF_g 1117157444815 0 2.8699 71.007 4.98316 26.158 7.3263e-06 0.0434961 -0.0645444 1.45862e-05 1490 30. 0.123391 0.04967 20.2928 26.158 1 2458871.6574421 652120148 1 -35.04538265313 33.409222 -1.166861 0.896730 -28.86860627578 49.765293 -0.584002 1.177649 0.204570163020604 20.2390000343323 0.0500000007450581 1.37600004673004 -0.108999997377396 2458303.952060 2458352.925799 0
 2208 653 16 1 ZTF_g 1117175816015 0 2.8349 82.7825 4.97753 26.2424 3.7538e-06 0.0309409 -0.0546645 7.52172e-06 1429 30. 0.060423 0.046542 20.3839 26.2424 1 2458871.6758102 653120160 1 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 null null null null null 2458304.966412 2458347.975521 57,61
 2209 653 16 2 ZTF_g 1117175816115 0 2.8971 78.7719 5.18066 26.1499 4.7652e-06 0.035721 -0.0641454 9.76418e-06 1563 30. 0.058051 0.045693 20.2281 26.1499 1 2458871.6758102 653120161 1 43.2606748353 31.568274 1.524394 1.046637 56.28163395714 47.408157 1.195168 1.119307 0.151207265367039 20.2149998664856 0.0370000004768372 0.726000010967255 0.046000000089407 2458304.966412 2458349.953391 0
 2210 698 3 3 ZTF_g 1117176261015 0 2.7538 97.082 6.08949 26.3444 3.6167e-06 0.0308815 -0.0734242 7.49645e-06 1490 30. 0.055774 0.04512 20.2912 26.3444 1 2458871.6762616 698120110 1 36.56080335123 32.269188 1.260325 0.960539 1.57660547144 50.700058 0.031306 1.063650 0.0923584226225262 20.3119999885559 0.0370000004768372 0.875 0.0350000001490116 2458303.951609 2458362.967720 0
 2211 698 3 3 ZTF_g 1117183801015 0 2.717 97.3343 6.11964 26.3558 3.9376e-06 0.0323716 -0.0958975 7.96054e-06 1507 30. 0.055884 0.041216 20.2991 26.3558 3 2458871.6838079 698120110 1 30.15847745261 30.871855 1.086680 0.969876 74.37444980146 50.063068 1.495621 1.053954 0.0923584226225262 20.3119999885559 0.0370000004768372 0.875 0.0350000001490116 2458303.951609 2458362.967720 0
 2212 698 3 3 ZTF_r 1118132451015 0 2.144 189.455 6.857 26.2237 1.9267e-06 0.0226307 0.0880268 3.82843e-06 1504 30. 0.046401 0.05043 20.2905 26.2237 3 2458872.6324537 698120210 1 -25.16608801126 29.836535 -0.938258 0.956687 -27.06359910294 54.479969 -0.500108 1.038624 0.00755360897509477 20.5009998321533 0.0419999994337559 1.12999999523163 0.0199999995529652 2458300.923935 2458441.795822 0
 2213 652 13 1 ZTF_r 1118133404815 0 2.352 307.799 6.32448 26.0714 3.4687e-06 0.0304814 0.0833662 6.55587e-06 1539 30. 0.08537 0.066506 20.1148 26.0714 3 2458872.6334028 652120248 1 -29.08754527925 35.557095 -0.909988 0.951952 -16.4457171488 59.630543 -0.277651 1.103677 0.2331930961443 20.5160001754761 0.0509999990463257 0.794000029563904 0 2458303.966667 2458364.883264 0
 2214 653 16 2 ZTF_r 1118133866115 0 2.4679 259.886 6.06473 26.0551 2.5336e-06 0.0265236 0.0845358 4.96518e-06 1612 30. 0.054533 0.060385 20.0784 26.0551 3 2458872.6338657 653120261 1 56.70247162004 36.058189 1.749254 0.940152 42.14076651297 58.142616 0.729664 1.093620 0.0960824501012838 20.5690001487732 0.068000003695488 1.04299998283386 0.0240000002086163 2458301.945833 2458361.999051 0
 2215 653 16 1 ZTF_r 1118133866015 0 2.2395 221.954 5.95595 26.1458 2.3188e-06 0.0244226 0.0849491 4.44021e-06 1444 30. 0.052669 0.063101 20.2816 26.1458 3 2458872.6338657 653120260 1 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 null null null null null 2458301.945833 2458364.983044 57,61
 2216 652 13 1 ZTF_g 1118163744815 0 2.3293 70.674 5.1045 26.1599 6.1149e-06 0.0401388 -0.0713505 1.18683e-05 1513 30. 0.114238 0.046499 20.415 26.1599 3 2458872.66375 652120148 1 -17.03926975958 28.825796 -0.657543 0.973002 51.43143035744 47.358410 1.093318 1.140867 0.204570163020604 20.2390000343323 0.0500000007450581 1.37600004673004 -0.108999997377396 2458303.952060 2458352.925799 0
 2217 698 3 3 ZTF_g 1118177681015 0 2.1123 46.5914 4.70239 25.551 6.0568e-06 0.0391692 -0.104086 1.27467e-05 1449 30. 0.065546 0.044702 19.9868 25.551 3 2458872.6776852 698120110 1 9.2324308897 19.681046 0.521822 0.972436 83.00980220618 37.218174 2.245378 1.030788 0.0923584226225262 20.3119999885559 0.0370000004768372 0.875 0.0350000001490116 2458303.951609 2458362.967720 0
 2218 652 13 1 ZTF_g 1119120544815 0 2.0118 71.2649 4.79523 26.1743 6.5164e-06 0.0416302 -0.0929091 1.24424e-05 1517 30. 0.107403 0.039349 20.6415 26.1743 3 2458873.620544 652120148 1 -46.32027787768 24.868179 -2.071963 1.076856 -12.15938782342 44.130402 -0.277389 1.120979 0.204570163020604 20.2390000343323 0.0500000007450581 1.37600004673004 -0.108999997377396 2458303.952060 2458352.925799 0
 2219 698 3 3 ZTF_g 1119133941015 0 1.9869 97.743 5.74463 26.3496 2.5654e-06 0.0263551 -0.0720043 5.11923e-06 1513 30. 0.048594 0.037211 20.6368 26.3496 3 2458873.6339468 698120110 1 6.52340816792 24.976585 0.290534 0.972141 -14.42588384233 46.962585 -0.309247 1.034448 0.0923584226225262 20.3119999885559 0.0370000004768372 0.875 0.0350000001490116 2458303.951609 2458362.967720 0
 2220 653 16 2 ZTF_g 1119134396115 0 2.2622 79.5396 4.95069 26.1605 3.1485e-06 0.029638 -0.0647776 6.18145e-06 1610 30. 0.051875 0.040056 20.4787 26.1605 3 2458873.6343981 653120161 1 1.23133449149 25.960630 0.052761 0.956104 -28.55293931095 44.684074 -0.643300 1.085108 0.151207265367039 20.2149998664856 0.0370000004768372 0.726000010967255 0.046000000089407 2458304.966412 2458349.953391 0
 2221 653 16 1 ZTF_g 1119134396015 0 2.0921 83.3345 4.69835 26.2548 3.3585e-06 0.029494 -0.0644439 6.47792e-06 1447 30. 0.050029 0.038927 20.7034 26.2548 3 2458873.6343981 653120160 1 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 null null null null null 2458304.966412 2458347.975521 57,61
 2222 653 16 2 ZTF_r 1119153396115 0 1.9879 257.393 5.98323 26.0447 1.7765e-06 0.0221659 0.0851713 3.46704e-06 1608 30. 0.046225 0.039071 20.2627 26.0447 3 2458873.6533912 653120261 1 19.5022192212 29.562099 0.733844 0.951210 61.5749094422 53.740425 1.153501 1.070643 0.0960824501012838 20.5690001487732 0.068000003695488 1.04299998283386 0.0240000002086163 2458301.945833 2458361.999051 0
 2223 653 16 1 ZTF_r 1119153396015 0 1.8729 221.77 5.85199 26.1464 1.801e-06 0.0216826 0.085009 3.44485e-06 1456 30. 0.04637 0.040682 20.451 26.1464 3 2458873.6533912 653120260 1 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 null null null null null 2458301.945833 2458364.983044 57,61
 2224 698 3 3 ZTF_r 1119153851015 0 1.4928 187.49 6.7389 26.2225 2.1083e-06 0.0238272 0.0855263 4.22391e-06 1515 30. 0.050984 0.056315 20.577 26.2225 3 2458873.6538542 698120210 1 -26.77762478382 22.623747 -1.316626 1.000720 -34.37849783909 48.031052 -0.720576 1.025208 0.00755360897509477 20.5009998321533 0.0419999994337559 1.12999999523163 0.0199999995529652 2458300.923935 2458441.795822 0
 2225 652 13 1 ZTF_r 1119156194815 0 1.7719 304.661 6.17929 26.0734 2.4758e-06 0.0257202 0.0811501 4.68721e-06 1535 30. 0.06925 0.043666 20.4038 26.0734 3 2458873.6561921 652120248 1 -5.34509942188 27.173950 -0.218805 0.921591 44.24449875528 52.463051 0.849026 1.068379 0.2331930961443 20.5160001754761 0.0509999990463257 0.794000029563904 0 2458303.966667 2458364.883264 0
 2226 653 16 2 ZTF_r 1119205256115 0 2.1003 244.915 6.46033 25.9905 1.9149e-06 0.0230177 0.0857428 3.74631e-06 1606 30. 0.049628 0.041538 20.0771 25.9905 1 2458873.7052546 653120261 1 47.92682177086 35.339867 1.508581 0.930391 79.12273582192 62.365555 1.277238 1.073166 0.0960824501012838 20.5690001487732 0.068000003695488 1.04299998283386 0.0240000002086163 2458301.945833 2458361.999051 0
 2227 653 16 1 ZTF_r 1119205256015 0 2.0468 209.06 6.26976 26.0827 1.6895e-06 0.0209876 0.0844775 3.23094e-06 1460 30. 0.050463 0.045107 20.2349 26.0827 1 2458873.7052546 653120260 1 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 null null null null null 2458301.945833 2458364.983044 57,61
 2228 698 3 3 ZTF_r 1119205701015 0 1.7095 176.866 7.34933 26.1603 1.6294e-06 0.0209683 0.0872422 3.23649e-06 1517 30. 0.045595 0.042897 20.3001 26.1603 1 2458873.705706 698120210 1 -22.84639571193 29.173573 -0.871130 0.931002 14.37238615235 59.842064 0.241790 1.026473 0.00755360897509477 20.5009998321533 0.0419999994337559 1.12999999523163 0.0199999995529652 2458300.923935 2458441.795822 0
 2229 698 3 3 ZTF_r 1120137241015 0 1.6233 176.528 6.7094 26.1478 1.9189e-06 0.0227176 0.0858095 3.83476e-06 1512 30. 0.041949 0.062118 20.4361 26.1478 1 2458874.6372454 698120210 1 -35.93159536986 24.122915 -1.656920 0.994029 -65.54882787293 49.854385 -1.323661 1.028156 0.00755360897509477 20.5009998321533 0.0419999994337559 1.12999999523163 0.0199999995529652 2458300.923935 2458441.795822 0
 2230 698 3 3 ZTF_r 1120138181015 0 1.4935 182.532 6.55015 26.1829 2.1809e-06 0.0242521 0.0851437 4.3567e-06 1514 30. 0.057592 0.062474 20.5735 26.1829 3 2458874.6381829 698120210 1 39.77601360576 24.173794 1.830338 0.952502 87.68496471768 50.559673 1.745967 1.026116 0.00755360897509477 20.5009998321533 0.0419999994337559 1.12999999523163 0.0199999995529652 2458300.923935 2458441.795822 0
 2231 652 13 1 ZTF_r 1120138644815 0 1.8729 297.12 5.85334 26.0503 2.9785e-06 0.0281145 0.0737149 5.63001e-06 1529 30. 0.074903 0.042551 20.3589 26.0503 1 2458874.6386458 652120248 1 -8.20200720351 27.306459 -0.334125 0.925624 30.6511427898 52.837608 0.584008 1.062897 0.2331930961443 20.5160001754761 0.0509999990463257 0.794000029563904 0 2458303.966667 2458364.883264 0
 2232 653 16 2 ZTF_r 1120139106115 0 2.0508 244.956 5.88402 25.9909 1.7525e-06 0.0220668 0.0862363 3.4429e-06 1616 30. 0.046495 0.044126 20.242 25.9909 3 2458874.6391088 653120261 1 20.3474218255 27.882187 0.811778 1.060740 -17.15601624353 50.427982 -0.342500 1.072923 0.0960824501012838 20.5690001487732 0.068000003695488 1.04299998283386 0.0240000002086163 2458301.945833 2458361.999051 0
 2233 653 16 1 ZTF_r 1120139106015 0 1.9879 212.749 5.68163 26.1059 1.7411e-06 0.0212478 0.0799919 3.32559e-06 1456 30. 0.046234 0.042996 20.4313 26.1059 3 2458874.6391088 653120260 1 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 null null null null null 2458301.945833 2458364.983044 57,61
 2234 652 13 1 ZTF_r 1120139564815 0 1.643 294.081 5.9383 26.0363 2.9962e-06 0.0282153 0.0768698 5.66042e-06 1531 30. 0.070132 0.046562 20.4557 26.0363 3 2458874.6395602 652120248 1 6.99713389397 23.781811 0.327288 0.935867 47.81838641626 47.402695 1.015563 1.061585 0.2331930961443 20.5160001754761 0.0509999990463257 0.794000029563904 0 2458303.966667 2458364.883264 0
 2235 653 16 1 ZTF_r 1120140026015 0 1.6391 207.548 5.77049 26.0649 2.183e-06 0.0238111 0.0838108 4.17453e-06 1455 30. 0.047024 0.05005 20.4984 26.0649 1 2458874.6400231 653120260 1 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 null null null null null 2458301.945833 2458364.983044 57,61
 2236 653 16 2 ZTF_r 1120140026115 0 1.734 238.897 5.95529 25.9525 2.0852e-06 0.0240852 0.0860291 4.09094e-06 1613 30. 0.044873 0.04364 20.3152 25.9525 1 2458874.6400231 653120261 1 -28.29103808191 28.226217 -1.114939 0.903884 -54.29196747537 52.919067 -1.032853 1.073639 0.0960824501012838 20.5690001487732 0.068000003695488 1.04299998283386 0.0240000002086163 2458301.945833 2458361.999051 0
 2237 652 13 1 ZTF_g 1120153114815 0 1.893 50.2746 5.49398 25.7639 7.1496e-06 0.0421347 -0.0598859 1.48078e-05 1454 30. 0.083759 0.04668 20.1349 25.7639 1 2458874.6531134 652120148 1 17.68005647455 29.303038 0.671160 1.042377 78.01484155356 51.558029 1.523337 1.134589 0.204570163020604 20.2390000343323 0.0500000007450581 1.37600004673004 -0.108999997377396 2458303.952060 2458352.925799 0
 2238 698 3 3 ZTF_g 1120154061015 0 1.9979 71.9367 6.39447 26.0248 3.6435e-06 0.0311148 -0.0895733 7.44332e-06 1498 30. 0.045265 0.039949 20.2066 26.0248 1 2458874.6540625 698120110 1 44.60178435143 25.235588 1.966046 0.999441 -9.20839195041 48.551353 -0.190940 1.029664 0.0923584226225262 20.3119999885559 0.0370000004768372 0.875 0.0350000001490116 2458303.951609 2458362.967720 0
 2239 652 13 1 ZTF_g 1120155024815 0 1.7457 56.3999 5.25364 25.9206 6.9311e-06 0.0425383 -0.0853977 1.35817e-05 1506 30. 0.087335 0.044705 20.4283 25.9206 3 2458874.6550231 652120148 1 -39.1262848362 26.574137 -1.637813 0.945668 4.49761927541 49.494812 0.091483 1.119976 0.204570163020604 20.2390000343323 0.0500000007450581 1.37600004673004 -0.108999997377396 2458303.952060 2458352.925799 0
 2240 698 3 3 ZTF_g 1120155471015 0 2.1366 76.5294 6.25239 26.0932 4.0754e-06 0.0329711 -0.0896542 8.22409e-06 1503 30. 0.046601 0.039599 20.2218 26.0932 3 2458874.6554745 698120110 1 21.33697294167 26.918549 0.881731 0.951109 77.8988169857 50.135998 1.564215 1.030809 0.0923584226225262 20.3119999885559 0.0370000004768372 0.875 0.0350000001490116 2458303.951609 2458362.967720 0
 2241 653 16 2 ZTF_g 1120174516115 0 2.3992 34.3894 6.01767 25.2437 8.1666e-06 0.040786 -0.0473161 2.0442e-05 1275 30. 0.057381 0.046315 19.3298 25.2437 1 2458874.6745139 653120161 1 -19.36083461342 31.353567 -0.686897 1.026958 -58.42152665669 53.362022 -1.102188 1.078680 0.151207265367039 20.2149998664856 0.0370000004768372 0.726000010967255 0.046000000089407 2458304.966412 2458349.953391 0
 2242 653 16 1 ZTF_g 1120174516015 0 2.3492 36.1584 5.81123 25.347 7.9375e-06 0.0399372 -0.0518141 1.97928e-05 1217 30. 0.05303 0.04289 19.5055 25.347 1 2458874.6745139 653120160 1 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 null null null null null 2458304.966412 2458347.975521 57,61
 2243 653 16 1 ZTF_g 1120185276015 0 2.3575 31.8038 5.97579 25.2174 9.9455e-06 0.0421471 -0.0551442 2.65059e-05 1130 30. 0.053115 0.046195 19.3295 25.2174 3 2458874.6852778 653120160 1 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 null null null null null 2458304.966412 2458347.975521 57,61
 2244 653 16 2 ZTF_g 1120185276115 0 2.3854 29.887 6.21422 25.103 1.30864e-05 0.0487694 -0.0456793 3.42789e-05 1190 30. 0.058856 0.045576 19.1485 25.103 3 2458874.6852778 653120161 1 50.9095880494 33.987259 1.666243 1.003554 -3.85422358242 57.665779 -0.067287 1.075531 0.151207265367039 20.2149998664856 0.0370000004768372 0.726000010967255 0.046000000089407 2458304.966412 2458349.953391 0
 2245 653 16 2 ZTF_r 1121103656115 0 2.4526 256.89 5.26863 26.0389 2.0327e-06 0.023756 0.0882346 3.98401e-06 1613 30. 0.052642 0.046831 20.2243 26.0389 1 2458875.6036574 653120261 1 9.43052072714 30.361687 0.345513 0.978747 4.71722025021 49.277119 0.096373 1.102328 0.0960824501012838 20.5690001487732 0.068000003695488 1.04299998283386 0.0240000002086163 2458301.945833 2458361.999051 0
 2246 653 16 1 ZTF_r 1121103656015 0 2.3947 219.381 5.12214 26.1356 1.9803e-06 0.0226683 0.0841961 3.78411e-06 1452 30. 0.054614 0.049914 20.3718 26.1356 1 2458875.6036574 653120260 1 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 null null null null null 2458301.945833 2458364.983044 57,61
 2247 652 13 1 ZTF_r 1121104124815 0 2.1995 302.66 5.26131 26.0507 3.471e-06 0.0303804 0.0811824 6.5642e-06 1530 30. 0.104672 0.044808 20.3461 26.0507 1 2458875.6041204 652120248 1 24.33085498426 27.310364 0.991025 0.990293 30.58891887147 47.561935 0.647470 1.090585 0.2331930961443 20.5160001754761 0.0509999990463257 0.794000029563904 0 2458303.966667 2458364.883264 0
 2248 698 3 3 ZTF_r 1121116041015 0 2.2544 185.938 5.88941 26.212 1.8823e-06 0.022449 0.0900312 3.75627e-06 1510 30. 0.051837 0.040041 20.4018 26.212 3 2458875.6160417 698120210 1 -48.4801665729 26.862467 -2.007581 0.988817 -78.6174867038 47.664795 -1.660491 1.040850 0.00755360897509477 20.5009998321533 0.0419999994337559 1.12999999523163 0.0199999995529652 2458300.923935 2458441.795822 0
 2249 652 13 1 ZTF_r 1121117004815 0 2.1424 303.305 5.27401 26.0688 3.126e-06 0.0288721 0.0757504 5.92944e-06 1530 30. 0.099001 0.041445 20.3789 26.0688 3 2458875.6170023 652120248 1 24.53442314488 27.028469 1.009739 0.999820 39.58679366703 48.139641 0.827871 1.076332 0.2331930961443 20.5160001754761 0.0509999990463257 0.794000029563904 0 2458303.966667 2458364.883264 0
 2250 653 16 1 ZTF_r 1121117456015 0 1.9411 219.982 5.10247 26.1369 1.5286e-06 0.0198711 0.0849402 2.92764e-06 1448 30. 0.04789 0.04151 20.5567 26.1369 3 2458875.6174537 653120260 1 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 null null null null null 2458301.945833 2458364.983044 57,61
 2251 653 16 2 ZTF_r 1121117456115 0 2.0669 256.752 5.23983 26.041 1.5988e-06 0.0210697 0.0860162 3.14499e-06 1614 30. 0.047778 0.042681 20.3791 26.041 3 2458875.6174537 653120261 1 8.08384209186 27.759874 0.323933 0.976565 13.35764449579 48.721279 0.276011 1.085001 0.0960824501012838 20.5690001487732 0.068000003695488 1.04299998283386 0.0240000002086163 2458301.945833 2458361.999051 0
 2252 652 13 1 ZTF_g 1121142534815 0 2.204 70.2889 4.18474 26.1486 8.7363e-06 0.0483214 -0.106805 1.66589e-05 1530 30. 0.143916 0.042211 20.6997 26.1486 3 2458875.6425347 652120148 1 -64.83155168024 21.700350 -3.323338 1.085435 -36.96365267255 37.247486 -0.999064 1.133075 0.204570163020604 20.2390000343323 0.0500000007450581 1.37600004673004 -0.108999997377396 2458303.952060 2458352.925799 0
 2253 698 3 3 ZTF_g 1121156741015 0 2.0347 94.9051 5.01194 26.3162 2.4635e-06 0.0257717 -0.0730383 4.87646e-06 1509 30. 0.055226 0.039144 20.6974 26.3162 3 2458875.6567477 698120110 1 37.02643295346 22.261566 1.850167 0.947824 49.03743207362 41.430958 1.191566 1.033864 0.0923584226225262 20.3119999885559 0.0370000004768372 0.875 0.0350000001490116 2458303.951609 2458362.967720 0
 2254 653 16 1 ZTF_g 1121157196015 0 2.3801 80.8523 4.11979 26.2316 3.0099e-06 0.0278975 -0.0829794 5.83364e-06 1446 30. 0.057163 0.03928 20.7059 26.2316 3 2458875.6571991 653120160 1 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 null null null null null 2458304.966412 2458347.975521 57,61
 2255 653 16 2 ZTF_g 1121157196115 0 2.5149 77.2519 4.42428 26.1457 3.3695e-06 0.0305713 -0.076131 6.59822e-06 1610 30. 0.057148 0.040599 20.4945 26.1457 3 2458875.6571991 653120161 1 3.71481193306 25.896002 0.159573 0.870385 7.70465768719 43.509899 0.178271 1.075322 0.151207265367039 20.2149998664856 0.0370000004768372 0.726000010967255 0.046000000089407 2458304.966412 2458349.953391 0
 2256 652 13 1 ZTF_g 1122149754815 0 1.7747 70.6271 5.11261 26.1562 6.0851e-06 0.0401706 -0.0909682 1.16743e-05 1523 30. 0.090153 0.042983 20.6434 26.1562 1 2458876.6497569 652120148 1 -7.46432590606 25.848185 -0.321229 0.957222 26.33909170197 47.627087 0.556752 1.120088 0.204570163020604 20.2390000343323 0.0500000007450581 1.37600004673004 -0.108999997377396 2458303.952060 2458352.925799 0
 2257 653 16 2 ZTF_g 1122150216115 0 2.3368 78.8891 5.15571 26.1587 3.8822e-06 0.0327388 -0.0823429 7.62216e-06 1602 30. 0.053255 0.038307 20.4162 26.1587 1 2458876.6502199 653120161 1 -28.79735506634 25.835636 -1.239905 0.986412 45.33070012655 45.363850 1.005999 1.071226 0.151207265367039 20.2149998664856 0.0370000004768372 0.726000010967255 0.046000000089407 2458304.966412 2458349.953391 0
 2258 653 16 1 ZTF_g 1122150216015 0 2.239 81.9732 4.98225 26.2554 3.0471e-06 0.0281249 -0.0790271 5.89849e-06 1452 30. 0.052866 0.038325 20.5873 26.2554 1 2458876.6502199 653120160 1 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 null null null null null 2458304.966412 2458347.975521 57,61
 2259 698 3 3 ZTF_r 1123133181015 0 2.3108 184.638 6.98558 26.2046 2.0127e-06 0.023253 0.0932041 3.99291e-06 1516 30. 0.046378 0.042499 20.2064 26.2046 1 2458877.6331829 698120210 1 25.23368426247 32.734432 0.857493 0.917957 -24.77606577154 57.973179 -0.430250 1.039966 0.00755360897509477 20.5009998321533 0.0419999994337559 1.12999999523163 0.0199999995529652 2458300.923935 2458441.795822 0
 2260 653 16 2 ZTF_r 1123135126115 0 2.1685 253.307 6.22093 26.0384 1.7419e-06 0.0219997 0.0850683 3.41182e-06 1613 30. 0.046162 0.043972 20.1384 26.0384 1 2458877.6351273 653120261 1 -1.86485752886 34.454639 -0.060208 0.852900 14.16068596529 59.700092 0.238795 1.077156 0.0960824501012838 20.5690001487732 0.068000003695488 1.04299998283386 0.0240000002086163 2458301.945833 2458361.999051 0
 2261 653 16 1 ZTF_r 1123135126015 0 2.087 217.879 6.07639 26.1287 1.6484e-06 0.0206759 0.08358 3.148e-06 1456 30. 0.04819 0.043601 20.2914 26.1287 1 2458877.6351273 653120260 1 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 null null null null null 2458301.945833 2458364.983044 57,61
 2262 652 13 1 ZTF_r 1123135574815 0 2.0846 302.01 6.45022 26.0639 2.4797e-06 0.0257032 0.0803035 4.69203e-06 1536 30. 0.071149 0.0457 20.1753 26.0639 1 2458877.6355787 652120248 1 -32.34002952689 34.739021 -1.035566 0.890856 -5.86075646799 62.635677 -0.094199 1.073708 0.2331930961443 20.5160001754761 0.0509999990463257 0.794000029563904 0 2458303.966667 2458364.883264 0
