 index, field, ccdid, qid, filter, pid, infobitssci, sciinpseeing, scibckgnd, scisigpix, zpmaginpsci, zpmaginpsciunc, zpmaginpscirms, clrcoeff, clrcoeffunc, ncalmatches, exptime, adpctdif1, adpctdif2, diffmaglim, zpdiff, programid, jd, rfid, forcediffimflux, forcediffimfluxunc, forcediffimsnr, forcediffimchisq, forcediffimfluxap, forcediffimfluxuncap, forcediffimsnrap, aperturecorr, dnearestrefsrc, nearestrefmag, nearestrefmagunc, nearestrefchi, nearestrefsharp, refjdstart, refjdend, procstatus
#
 9 648 1 0 ZTF_g 521471640015 0 2.6047 93.4802 8.74718 26.028 1.57266e-05 0.0383796 -0.05706 3.19148e-05 718 30. 0.061534 0.048007 19.6676 26.028 3 2458275.9716435 648120100 -110.345461790847 42.4355856885648 -2.89253802596553 1.0439265166693 -249.436420099512 69.4684088805842 -3.61482856433132 1.06677617458757 0.361259646257394 19.0949999809265 0.0179999992251396 0.41499999165535 0.00999999977648258 2458274.952523 2458292.946053 0
 10 648 1 0 ZTF_r 522471070015 0 2.3846 283.885 7.62541 26.0531 4.9437e-06 0.0248326 0.0904347 7.79643e-06 878 30. 0.061061 0.039705 19.9573 26.0531 3 2458276.9710764 648120200 -46.371534221821 34.7894341328849 -1.48271916550747 1.00117521892642 48.3373040643138 60.545850846386 0.803735646753638 1.05479398642273 0.328343327799193 19.2509998321533 0.0179999992251396 0.230000004172325 0.00100000004749745 2458273.930521 2458289.970046 0
 11 648 1 0 ZTF_r 523425190015 0 2.5908 254.059 8.13197 25.9343 5.3774e-06 0.0260038 0.0851378 8.51479e-06 883 30. 0.062184 0.054547 19.7073 25.9343 3 2458277.9251968 648120200 28.7482532579957 35.5913337547949 0.89850810722214 1.02192576737172 -26.0255884814063 61.0522559062179 -0.429154859690288 1.04878206449251 0.328343327799193 19.2509998321533 0.0179999992251396 0.230000004172325 0.00100000004749745 2458273.930521 2458289.970046 0
 12 648 1 0 ZTF_r 523426110015 0 2.6905 253.851 8.1012 25.9321 6.1856e-06 0.0279549 0.0890201 9.80916e-06 884 30. 0.06728 0.057254 19.6854 25.9321 1 2458277.9261111 648120200 63.0102818110285 36.2331643612462 1.93446091332003 0.994816788903508 0.12308962405511 61.099775651198 0.00202813575719966 1.04899866640931 0.328343327799193 19.2509998321533 0.0179999992251396 0.230000004172325 0.00100000004749745 2458273.930521 2458289.970046 0
 13 648 1 0 ZTF_g 523468920015 0 1.9167 99.3599 7.8267 26.0155 9.3792e-06 0.0330856 -0.0323043 1.60444e-05 832 30. 0.055265 0.039538 20.1868 26.0155 3 2458277.9689236 648120100 18.7797340479229 28.584485370167 0.730825783899668 1.01893481559059 85.2434926858455 53.2719362306126 1.61093473573139 1.06334853469034 0.361259646257394 19.0949999809265 0.0179999992251396 0.41499999165535 0.00999999977648258 2458274.952523 2458292.946053 0
 14 648 1 0 ZTF_g 523469860015 0 2.072 98.0537 8.03851 26.0182 1.01999e-05 0.0341675 -0.0220042 1.77393e-05 820 30. 0.053909 0.039673 20.0426 26.0182 1 2458277.9698611 648120100 58.8651332128673 33.4301283006125 1.95873141552412 0.921606000891803 168.216614871673 60.7453092814654 2.78786239553863 1.06078427496868 0.361259646257394 19.0949999809265 0.0179999992251396 0.41499999165535 0.00999999977648258 2458274.952523 2458292.946053 0
 15 648 1 0 ZTF_g 524434490015 0 2.593 99.2437 5.50812 26.0493 1.1205e-05 0.0368959 -0.0545125 1.85612e-05 856 30. 0.068097 0.053204 20.1621 26.0493 3 2458278.9344907 648120100 -11.9992516784632 28.2360370450545 -0.472721353695768 0.920436950466642 -17.1490153256666 47.3090256941731 -0.364930680292543 1.05331122137291 0.361259646257394 19.0949999809265 0.0179999992251396 0.41499999165535 0.00999999977648258 2458274.952523 2458292.946053 0
 16 648 1 0 ZTF_r 524474650015 0 2.1594 284.605 7.91767 26.0561 4.2053e-06 0.0228246 0.0876347 6.63915e-06 871 30. 0.058096 0.039139 20.0375 26.0561 3 2458278.9746528 648120200 -0.311994498989757 31.5672499536817 -0.0109942343171444 1.08555300648179 71.3761341737386 57.457489049099 1.25060906303466 1.04865708730107 0.328343327799193 19.2509998321533 0.0179999992251396 0.230000004172325 0.00100000004749745 2458273.930521 2458289.970046 0
 17 648 1 0 ZTF_g 525464500015 0 2.8074 103.744 5.51053 26.1307 1.12603e-05 0.0364451 -0.0620045 1.9021e-05 842 30. 0.066939 0.048356 20.193 26.1307 3 2458279.9645023 648120100 -23.7991357152981 27.981794555161 -0.946107364505895 1.0212413134994 -65.5788602171659 43.6649590393282 -1.51197983615051 1.08146480806258 0.361259646257394 19.0949999809265 0.0179999992251396 0.41499999165535 0.00999999977648258 2458274.952523 2458292.946053 0
 18 648 1 0 ZTF_g 526448320015 0 2.094 101.404 4.79591 26.1094 6.3906e-06 0.0283366 -0.0621647 1.01499e-05 869 30. 0.057243 0.042207 20.6823 26.1094 3 2458280.9483218 648120100 9.23939373183311 18.646417320349 0.551191962445875 0.950397278398042 27.8337193662243 34.3520134445878 0.81570709422219 1.05029580460234 0.361259646257394 19.0949999809265 0.0179999992251396 0.41499999165535 0.00999999977648258 2458274.952523 2458292.946053 0
