# ------------------------------------------------------------------
# Generated by forcedphotometry_trim.pl, v3.9 on 2026-04-07 at 13:37:25
#
# Requested input R.A. = 153.27642 degrees
# Requested input Dec. = -4.45831 degrees
# Requested JD start = 2458194.5 days
# Requested JD end = 2490000.0 days
# Authenticated program IDs = 1, 2, 3
#
# Column definitions:
# index = sequential counter
# field = ZTF Field identifier
# ccdid = CCD identifier (1..16)
# qid = Quadrant (CCD-amplifier) identifier (0..3)
# filter = Filter string: ZTF_g, ZTF_r, ZTF_i
# pid = processed image Operations DB identifier
# infobitssci = processing summary/QA bits for sci image
# sciinpseeing = Effective FWHM of sci image [pixels]
# scibckgnd = Background level in sci image [DN]
# scisigpix = Robust sigma per pixel in sci image [DN]
# zpmaginpsci = Photometric zeropoint for sci image [mag]
# zpmaginpsciunc = 1-sigma uncertainty in zpmaginpsci [mag]
# zpmaginpscirms = RMS (deviation from average) in difference between instrumental mags and PS1 calibrators [mag]
# clrcoeff = Linear color coefficient from calibration; for ZTF_g,r,i, PS1 color used is g-r, g-r, r-i respectively
# clrcoeffunc = 1-sigma uncertainty in clrcoeff
# ncalmatches = Number of PS1 calibrators used in initial calibration of sci image
# exptime = Integration time for sci image [sec]
# adpctdif1 = Full sci image astrometric RMS along R.A. with respect to Gaia1 [arcsec]
# adpctdif2 = Full sci image astrometric RMS along Dec. with respect to Gaia1 [arcsec]
# diffmaglim = Magnitude limit in difference image [mag]
# zpdiff = Photometric zeropoint for difference image [mag]
# programid = Program identifier [0=engineering; 1=public; 2=private; 3=Caltech time]
# jd = Julian Date at start of exposure [days]
# rfid = Reference image Operations DB identifier
# diffimgstatus = Difference-image quality filtering (0=bad,1=good)
# forcediffimflux = Forced difference image PSF-fit flux [DN]
# forcediffimfluxunc = 1-sigma uncertainty in forcediffimflux [DN]
# forcediffimsnr = Signal-to-noise ratio for forcediffimflux measurement
# forcediffimchisq = Reduced chi-square in PSF-fit
# forcediffimfluxap = Forced difference image aperture flux using a fixed 9-pixel diameter aperture [DN]
# forcediffimfluxuncap = 1-sigma uncertainty in forcediffimfluxap [DN]
# forcediffimsnrap = Signal-to-noise ratio for forcediffimfluxap measurement
# aperturecorr = Aperture (curve-of-growth) correction factor that was applied to forcediffimfluxap measurement
# dnearestrefsrc = Distance to nearest ref image source if found within 5 arcsec [arcsec]
# nearestrefmag = Magnitude of nearest ref image source [mag]
# nearestrefmagunc = 1-sigma uncertainty in nearestrefmag [mag]
# nearestrefchi = Chi parameter for nearestrefmag measurement (ratio: RMS in PSF-fit residuals / expected RMS from priors)
# nearestrefsharp = Sharp parameter for nearestrefmag measurement (~0 => PSF like; >>0 => extended; <<0 => pixel spike or hard edge)
# refjdstart = JD of earliest sci image used for ref image [days]
# refjdend = JD of latest sci image used for ref image [days]
# procstatus = Per-epoch processing status codes (0 => no warnings); if non-zero, see accompanying log file and document link below
#
# Documentation: https://irsa.ipac.caltech.edu/data/ZTF/docs/forcedphot.pdf
#
# ------------------------------------------------------------------
# Order of columns below:
 index, field, ccdid, qid, filter, pid, infobitssci, sciinpseeing, scibckgnd, scisigpix, zpmaginpsci, zpmaginpsciunc, zpmaginpscirms, clrcoeff, clrcoeffunc, ncalmatches, exptime, adpctdif1, adpctdif2, diffmaglim, zpdiff, programid, jd, rfid, diffimgstatus, forcediffimflux, forcediffimfluxunc, forcediffimsnr, forcediffimchisq, forcediffimfluxap, forcediffimfluxuncap, forcediffimsnrap, aperturecorr, dnearestrefsrc, nearestrefmag, nearestrefmagunc, nearestrefchi, nearestrefsharp, refjdstart, refjdend, procstatus
#
 0 418 8 2 ZTF_g 453294363015 0 2.3266 135.96 24.8101 26.163 3.63846e-05 0.0398703 -0.0259437 8.52905e-05 283 30. 0.057831 0.057689 18.7368 26.163 1 2458207.7943634 418120130 1 null null null null null null null null 0.472635114355175 18.3510000228882 0.0160000007599592 0.721000015735626 -0.00800000037997961 2458202.754201 2458461.959583 61
 1 418 8 2 ZTF_g 456262253015 0 2.6237 103.886 15.3049 25.9031 4.09671e-05 0.0451221 -0.013252 9.07736e-05 324 30. 0.06407 0.061124 18.9351 25.9031 1 2458210.7622569 418120130 1 23.4187869393125 90.0384866207627 0.289328363012444 0.861329689102114 -26.0964184668963 138.342910493799 -0.189906221091853 1.10024584176156 0.472635114355175 18.3510000228882 0.0160000007599592 0.721000015735626 -0.00800000037997961 2458202.754201 2458461.959583 56
 2 418 8 2 ZTF_g 456276843015 0 2.848 85.3657 16.5555 25.6808 0.000136796 0.0675568 -0.00596744 0.000328164 238 30. 0.069399 0.064692 18.5538 25.6808 1 2458210.7768403 418120130 1 -16.4063386055986 111.469391111068 -0.163723433130888 0.756093169068221 -106.0500126553 162.754125305925 -0.655985004321265 1.12284771528493 0.472635114355175 18.3510000228882 0.0160000007599592 0.721000015735626 -0.00800000037997961 2458202.754201 2458461.959583 56
 3 418 8 2 ZTF_r 460196433015 32 2.5426 38.2056 11.1514 23.8017 0.00102736 0.148961 0.145927 0.00183177 153 30. 0.084407 0.077986 17.1678 23.8017 1 2458214.6964352 418120230 1 null null null null null null null null null null null null null 2458160.791412 2458450.023322 57,61
 4 418 8 2 ZTF_g 481190273015 0 2.1199 139.391 15.5725 26.2143 2.24664e-05 0.0406173 -0.0439619 4.55739e-05 444 30. 0.051199 0.052119 19.3875 26.2143 1 2458235.6902778 418120130 1 null null null null null null null null 0.472635114355175 18.3510000228882 0.0160000007599592 0.721000015735626 -0.00800000037997961 2458202.754201 2458461.959583 61
 5 418 8 2 ZTF_r 489150253015 0 2.0843 301.962 7.52086 26.1488 5.5027e-06 0.0230078 0.101554 8.41854e-06 604 30. 0.043814 0.045196 20.141 26.1488 1 2458243.6502546 418120230 1 null null null null null null null null null null null null null 2458160.791412 2458450.023322 57,61
 6 418 8 2 ZTF_g 489191683015 0 2.7256 127.541 5.19788 26.1701 1.30483e-05 0.0352452 -0.118387 2.06247e-05 588 30. 0.061184 0.059613 20.3005 26.1701 1 2458243.6916898 418120130 1 41.2342151181879 27.2460046894313 1.68348676462126 0.894838287845468 9.04010507994823 44.6632110406842 0.203769287870796 1.03740230885473 0.472635114355175 18.3510000228882 0.0160000007599592 0.721000015735626 -0.00800000037997961 2458202.754201 2458461.959583 56
 7 417 5 3 ZTF_g 668499321915 0 3.068 126.806 10.074 26.0233 3.14444e-05 0.0425721 -0.0350321 7.16533e-05 343 30. 0.065713 0.063777 19.3602 26.0233 3 2458422.9993287 417120119 1 null null null null null null null null null null null null null 2458202.754676 2458441.984757 56,57
 8 417 5 3 ZTF_r 668524131915 0 2.728 417.768 10.4067 26.1285 1.42664e-05 0.0342656 0.111265 2.30411e-05 481 30. 0.060984 0.061171 19.5105 26.1285 3 2458423.0241319 417120219 1 null null null null null null null null null null null null null 2458165.895613 2458450.022870 56,57
 9 417 5 3 ZTF_g 669481641915 0 4.2102 51.5411 14.7743 25.1151 0.000963586 0.0762289 -0.117724 0.00309847 75 30. 0.104612 0.094987 17.73 25.1151 1 2458423.9816435 417120119 1 null null null null null null null null null null null null null 2458202.754676 2458441.984757 56,57
