 sindex, field, ccdid, qid, filter, pid, infobitssci, sciinpseeing, scibckgnd, scisigpix, zpmaginpsci, zpmaginpsciunc, zpmaginpscirms, clrcoeff, clrcoeffunc, ncalmatches, exptime, adpctdif1, adpctdif2, diffmaglim, zpdiff, programid, jd, rfid, forcediffimflux, forcediffimfluxunc, forcediffimsnr, forcediffimchisq, forcediffimfluxap, forcediffimfluxuncap, forcediffimsnrap, aperturecorr, dnearestrefsrc, nearestrefmag, nearestrefmagunc, nearestrefchi, nearestrefsharp, refjdstart, refjdend, procstatus
#
 9 285 6 1 ZTF_r 522438462015 0 2.4304 436.859 8.16063 26.2138 1.353e-06 0.0129445 0.073212 4.24313e-06 2040 30. 0.047643 0.052376 20.049 26.2138 1 2458276.9384606 285120220 26.94161219431 37.967186 0.789351 0.914545 28.83892517967 65.809822 0.441168 1.048595 0.193990927576558 19.4520000457764 0.0329999998211861 0.816999971866608 -0.0740000009536743 2458249.986042 2458365.688669 0
 10 285 6 1 ZTF_g 525440092015 0 3.3085 290.729 5.95768 26.116 3.2196e-06 0.0202388 -0.026695 1.00654e-05 2012 30. 0.067045 0.075875 20.0698 26.116 1 2458279.9400926 285120120 64.34290395116 36.277054 1.972983 0.954748 94.66223341159 50.086929 1.902688 1.139489 0.20156761177043 19.3259999275208 0.0370000004768372 1.43799996376038 -0.046000000089407 2458236.000810 2458636.979826 0
 11 285 6 1 ZTF_r 528480132015 0 1.9619 241.614 12.0438 25.5569 3.2938e-06 0.0203426 0.0957216 1.02906e-05 2046 30. 0.054405 0.055326 19.2168 25.5569 1 2458282.9801389 285120220 60.76279907672 43.331207 1.559882 1.036762 136.84262405377 79.742744 1.727609 1.056881 0.193990927576558 19.4520000457764 0.0329999998211861 0.816999971866608 -0.0740000009536743 2458249.986042 2458365.688669 0
 12 285 6 1 ZTF_g 532397892015 0 3.0421 299.774 5.10557 26.1667 2.4476e-06 0.0173898 -0.0576383 7.67864e-06 2022 30. 0.06186 0.063897 20.2773 26.1667 1 2458286.8978935 285120120 -24.69806265398 27.740736 -0.990375 0.995025 -57.80475862487 41.504658 -1.402110 1.079109 0.20156761177043 19.3259999275208 0.0370000004768372 1.43799996376038 -0.046000000089407 2458236.000810 2458636.979826 0
 13 285 6 1 ZTF_r 535440172015 0 3.2674 450.064 7.93937 26.2155 2.9479e-06 0.0189642 0.0904466 9.2637e-06 2011 30. 0.06816 0.076017 19.8646 26.2155 1 2458289.9401736 285120220 -20.03311584337 47.381733 -0.470319 0.928875 46.27797219467 67.011017 0.695254 1.109739 0.193990927576558 19.4520000457764 0.0329999998211861 0.816999971866608 -0.0740000009536743 2458249.986042 2458365.688669 0
 14 285 6 1 ZTF_g 538410242015 0 2.2238 297.764 5.3835 26.1408 1.6922e-06 0.0144848 -0.0508224 5.31081e-06 2004 30. 0.043297 0.054265 20.5536 26.1408 1 2458292.9102431 285120120 -23.36121785153 21.736340 -1.195539 0.923290 -73.82614069484 37.525959 -1.980585 1.064296 0.20156761177043 19.3259999275208 0.0370000004768372 1.43799996376038 -0.046000000089407 2458236.000810 2458636.979826 0
 15 285 6 1 ZTF_r 547376342015 0 1.9991 435.373 14.1946 26.1677 2.0386e-06 0.0160011 0.0832662 6.38199e-06 2018 30. 0.051566 0.069058 19.6656 26.1677 1 2458301.8763426 285120220 95.04191498434 53.044258 1.993111 0.953347 193.17378643413 96.258690 2.020335 1.053116 0.193990927576558 19.4520000457764 0.0329999998211861 0.816999971866608 -0.0740000009536743 2458249.986042 2458365.688669 0
 16 285 6 1 ZTF_r 550377982015 0 1.9786 429.391 9.37689 26.1579 1.6796e-06 0.014489 0.0817657 5.26537e-06 2020 30. 0.044402 0.053813 20.1176 26.1579 1 2458304.8779861 285120220 -67.91564266542 32.763248 -2.305885 0.942122 -124.87515266214 62.742409 -2.003688 1.037966 0.193990927576558 19.4520000457764 0.0329999998211861 0.816999971866608 -0.0740000009536743 2458249.986042 2458365.688669 0
 17 285 6 1 ZTF_g 550419282015 0 2.7375 281.403 9.14408 26.1154 3.881e-06 0.0219142 -0.100291 1.21789e-05 2004 30. 0.064922 0.079356 19.6965 26.1154 1 2458304.9192824 285120120 93.82642034425 45.355270 2.301188 0.937498 132.51327745222 73.391411 1.817730 1.048165 0.20156761177043 19.3259999275208 0.0370000004768372 1.43799996376038 -0.046000000089407 2458236.000810 2458636.979826 0
 18 285 6 1 ZTF_r 566271872015 0 1.8424 416.786 10.8443 26.1284 4.2497e-06 0.0229161 0.0778868 1.33635e-05 2014 30. 0.044168 0.04783 19.9961 26.1284 1 2458320.771875 285120220 7.80648018085 35.508049 0.244559 0.917208 -77.54299049757 69.208771 -1.127967 1.036092 0.193990927576558 19.4520000457764 0.0329999998211861 0.816999971866608 -0.0740000009536743 2458249.986042 2458365.688669 0
