ZTFJ0015+3038,ZTF22acawcsg,00:15:39.19,+30:38:14.76,19.15
ZTFJ0313+5206,ZTF20aaaejmy,03:13:00.54,+52:06:46.31,18.93
ZTFJ0436+5728,ZTF20abykyba,04:36:35.46,+57:28:40.30,19.38
ZTFJ1944-2451,ZTF24aapzpen,19:44:15.16,-24:51:31.12,19.32
ZTFJ1946+5543,ZTF25aanmfif,19:46:28.67,+55:43:04.48,19.63
ZTFJ2327+0019,ZTF22aanygxe,23:27:24.86,+00:19:42.18,19.07
